token_spacy,lemma,pos
Cupidon,Cupidon,PROPN
représentations,représentation,NOUN
petit,petit,ADJ
pierres,pierre,NOUN
camée,camée,NOUN
pour,pour,ADP
oeuvre,oeuvre,NOUN
métopes,métope,PROPN
ce,ce,DET
portraits,portrait,NOUN
l',le,DET
Aphrodite,Aphrodite,PROPN
statuette,statuette,NOUN
Antinoüs,Antinoüs,PROPN
Vase,Vase,X
célèbre,célèbre,ADJ
Ajax,Ajax,PROPN
Améthyste,Améthyste,PROPN
en,en,PRON
reconnaître,reconnaître,VERB
se,se,PRON
Alexandre,Alexandre,PROPN
Hermès,Hermès,PROPN
Plusieurs,plusieurs,DET
scènes,scène,NOUN
HÉRACLÈS,HÉRACLÈS,PROPN
peintre,peintre,VERB
Héra,Héra,PROPN
Satyre,Satyre,PROPN
cratère,cratère,NOUN
l',le,DET
Hercule,Hercule,PROPN
des,de,ADP
Bacchus,Bacchus,PROPN
peignit,peindre,VERB
II,II,NUM
Sauroctone,Sauroctone,PROPN
œuvre,œuvre,NOUN
œuvres,œuvre,NOUN
têtes,tête,NOUN
korè,korè,X
Prime,Prime,X
buste,buste,NOUN
beau,beau,ADJ
reconnaît,reconnaître,VERB
figure,figure,NOUN
magnifique,magnifique,ADJ
représentent,représenter,VERB
Combat,Combat,PROPN
Au,au,ADP
Hydrie,Hydrie,PROPN
nom,nom,NOUN
Oxybaphon,Oxybaphon,PROPN
amphore,amphore,NOUN
Pâte,Pâte,PROPN
sont,être,AUX
figurine,figurine,NOUN
Persée,perser,VERB
Sarcophage,Sarcophage,PROPN
l',le,DET
Anguipède,Anguipède,PROPN
chef,chef,NOUN
original,original,ADJ
bustes,buste,NOUN
Ce,ce,PRON
Calcédoine,Calcédoine,PROPN
d',de,ADP
un,un,DET
l,l,DET
Rhyton,Rhyton,PROPN
D',de,ADP
un,un,DET
Hyacinthe,Hyacinthe,PROPN
celui,celui,PRON
Théodore,Théodore,PROPN
Ptolémée,Ptolémée,PROPN
fameux,fameux,ADJ
Des,un,DET
Alkamènes,Alkamènes,PROPN
Coupe,coupe,NOUN
Lécythus,Lécythus,PROPN
coupes,coupe,NOUN
sujets,sujet,NOUN
autel,autel,NOUN
stèles,stèle,NOUN
scène,scène,NOUN
plinthe,plinth,ADJ
ces,ce,DET
Grenat,Grenat,PROPN
Artémis,Artémis,PROPN
Statue,Statue,PROPN
roi,roi,NOUN
l',le,DET
empereur,empereur,NOUN
donna,donner,VERB
Korè,Korè,PROPN
cheval,cheval,NOUN
auteur,auteur,NOUN
très,très,ADV
Polygnote,Polygnote,PROPN
Athènes,Athènes,PROPN
l',le,DET
artiste,artiste,NOUN
nous,nous,PRON
fameuse,fameux,ADJ
Naissance,Naissance,PROPN
Bryaxis,Bryaxis,PROPN
enlèvement,enlèvement,NOUN
Elles,lui,PRON
suicide,suicide,NOUN
montre,montre,VERB
Lampe,lamper,PRON
reconnue,reconnaître,VERB
Cratère,Cratère,PROPN
Peint,Peint,PROPN
intaille,intaill,ADJ
marbres,marbre,NOUN
représenta,représenter,VERB
Thésée,Thésée,PROPN
Faune,faune,NOUN
Céphisodote,Céphisodote,PROPN
char,char,NOUN
combat,combat,NOUN
Crésilas,Crésilas,PROPN
THRASON,THRASON,PROPN
gemme,gemme,NOUN
cornaline,cornaline,NOUN
ils,il,PRON
kélébé,kélébé,PROPN
montrant,montrer,VERB
sous,sou,ADP
oenochoé,oenochoé,NOUN
elle,lui,PRON
procession,procession,NOUN
Canthare,Canthare,PROPN
Poséidon,Poséidon,PROPN
CHÉNEAU,CHÉNEAU,PROPN
Réunion,Réunion,PROPN
Athéniennes,Athéniennes,PROPN
Timanthe,Timanthe,PROPN
Aristophon,Aristophon,PROPN
César,César,PROPN
Dans,dans,ADP
Protogènes,protogène,NOUN
Mars,mars,NOUN
Laocoon,Laocoon,PROPN
Aristides,Aristides,PROPN
Panaenus,Panaenus,X
Philiscus,Philiscus,PROPN
Déesse,Déesse,PROPN
Dédale,dédale,NOUN
Dionysos,Dionysos,PROPN
grappe,grappe,NOUN
Aryballe,Aryballe,PROPN
l',le,DET
un,un,DET
peignant,peindre,VERB
où,où,PRON
naissance,naissance,NOUN
peinture,peinture,X
fronton,fronton,NOUN
bouclier,bouclier,NOUN
Nymphes,Nymphes,PROPN
Onatas,Onatas,PROPN
ex,e,NOUN
Paionios,Paionios,PROPN
réplique,réplique,NOUN
Aglaophon,Aglaophon,PROPN
Scopas,Scopas,PROPN
faire,faire,VERB
quadrige,quadrige,NOUN
Antéfixe,Antéfixe,PROPN
Ils,il,PRON
L',le,DET
artiste,artiste,NOUN
Latone,Latone,PROPN
Jugement,jugement,NOUN
DÉPART,DÉPART,PROPN
l',le,DET
enlèvement,enlèvement,NOUN
peintures,peinture,NOUN
Nicératus,Nicératus,PROPN
Kélebé,Kélebé,PROPN
Polyclès,Polyclès,PROPN
Pythagore,Pythagore,PROPN
Mosaïque,Mosaïque,PROPN
Une,un,DET
Cyathis,cyathi,NOUN
Exposition,exposition,NOUN
Aryballos,Aryballos,PROPN
était,être,AUX
près,près,ADV
firent,faire,VERB
portique,portique,NOUN
jeune,jeune,ADJ
Trophées,Trophées,PROPN
bataille,bataille,NOUN
inspira,inspirer,VERB
épisodes,épisode,NOUN
Silène,Silène,PROPN
Oreste,oreste,VERB
trépied,trépied,NOUN
Petite,petit,ADJ
POLYDORE,polydore,NOUN
ANTIGONE,ANTIGONE,PROPN
dédièrent,dédier,VERB
APOLLONIUS,APOLLONIUS,PROPN
ARCÉSILAS,ARCÉSILAS,PROPN
C,c,NOUN
ARISTANDRE,ARISTANDRE,PROPN
Dinoménès,Dinoménès,PROPN
lui,luire,PRON
Cyzique,Cyzique,PROPN
Rome,Rome,PROPN
HÉPHÆSTION,HÉPHÆSTION,PROPN
Αntinοϋs,Αntinοϋs,PROPN
ARISTOCLÈS,ARISTOCLÈS,PROPN
Pausanias,Pausanias,PROPN
Elle,lui,PRON
cette,ce,DET
c',ce,PRON
est,être,AUX
Rhodes,Rhodes,PROPN
Génie,Génie,PROPN
DAMÉAS,DAMÉAS,PROPN
kouros,kouros,NOUN
ANTIPHANE,ANTIPHANE,PROPN
attribue,attribuer,VERB
PRAXIAS,PRAXIAS,PROPN
MÉNECHME,MÉNECHME,PROPN
PYTHOCRITE,pythocrite,VERB
monument,monument,NOUN
encensoir,encensoir,NOUN
Grâces,Grâces,PROPN
CLÉOMÈNES,cléomèner,VERB
qu',que,SCONJ
il,il,PRON
CÉPHISODOTE,CÉPHISODOTE,PROPN
MNASITIME,MNASITIME,PROPN
Éphèse,Éphèse,PROPN
MICON,MICON,PROPN
Bupale,bupale,NOUN
Genoux,Genoux,PROPN
Vases,vase,NOUN
Kléanthès,Kléanthès,PROPN
moulage,moulage,NOUN
Cléobis,Cléobis,PROPN
Sphinx,Sphinx,PROPN
Kandaule,Kandaule,PROPN
Kallon,Kallon,PROPN
statuettes,statuette,NOUN
Éphèbe,Éphèbe,PROPN
Koré,Koré,PROPN
Kallitèles,Kallitèles,PROPN
Sirène,Sirène,PROPN
Kallimaque,Kallimaque,PROPN
Colosse,Colosse,PROPN
colonne,colonne,NOUN
Ekhion,Ekhion,PROPN
Glaukos,glauko,NOUN
Kalamis,Kalamis,PROPN
Aristrate,Aristrate,PROPN
Dsedale,Dsedale,PROPN
Harmodios,harmodio,NOUN
Ilégias,Ilégias,PROPN
core,core,NOUN
l',le,DET
Apollon,Apollon,PROPN
Kouroï,Kouroï,PROPN
jumeaux,jumeau,NOUN
Artamènes,Artamènes,PROPN
Stèle,Stèle,PROPN
Arkésilaos,Arkésilaos,PROPN
Pinax,Pinax,PROPN
théâtre,théâtre,NOUN
qu',que,SCONJ
une,un,DET
Stéphanos,Stéphanos,PROPN
bouclierde,bouclierde,NOUN
Marcus,Marcus,PROPN
bronzes,bronze,NOUN
Damophôn,Damophôn,PROPN
Cypris,cypris,VERB
guerrier,guerrier,NOUN
gymnase,gymnase,NOUN
figurent,figurer,VERB
Relief,Relief,PROPN
Portique,Portique,PROPN
vieille,vieux,ADJ
sculptait,sculpter,VERB
phalères,phalère,NOUN
taillant,tailler,VERB
nlevé,nlevé,NOUN
Aplirodite,Aplirodite,PROPN
Asklépiodore,Asklépiodore,PROPN
Athéné,Athéné,PROPN
habitants,habitant,NOUN
conservait,conserver,VERB
dessins,dessin,NOUN
galerie,galerie,NOUN
balailie,balailie,X
Laphaës,Laphaës,PROPN
L',le,DET
Aphrodite,Aphrodite,PROPN
simulacre,simulacre,PROPN
miroirs,miroir,NOUN
Léarque,Léarque,PROPN
Antiphanès,Antiphanès,PROPN
portait,porter,VERB
Mikon,Mikon,PROPN
Ménekhme,Ménekhme,PROPN
Portrait,Portrait,PROPN
Philippe,Philippe,PROPN
Κωλώτης,Κωλώτης,PROPN
table,table,NOUN
Praxitèles,Praxitèles,PROPN
réalisation,réalisation,NOUN
objet,objet,NOUN
Skopas,Skopas,PROPN
VAjax,VAjax,PROPN
Yl',Yl',PROPN
Irjsse,Irjsse,PROPN
ivoires,ivoire,ADJ
Cyrénéens,Cyrénéens,PROPN
Argiens,Argiens,PROPN
Cerf,Cerf,PROPN
Variante,Variante,PROPN
Ganymède,Ganymède,PROPN
Anadyomène,Anadyomène,PROPN
éphèbes,éphèbe,ADJ
monnaies,monnaie,NOUN
sans,sans,ADP
voyait,voir,VERB
Aiguë,Aiguë,PROPN
légende,légende,X
devait,devoir,VERB
Chrysolite,Chrysolite,PROPN
Diane,Diane,PROPN
Orsini,Orsini,X
PIERRES,pierre,NOUN
Pierres,pierre,NOUN
représenté,représenter,VERB
xJaspe,xjaspe,DET
aurions,aurion,ADJ
restaurer,restaurer,VERB
tombeau,tombeau,NOUN
reconstituer,reconstituer,VERB
YApoxyoménos,YApoxyoménos,PROPN
influence,influence,NOUN
rattacher,rattacher,VERB
s',se,PRON
apparente,apparenter,VERB
HCornaline,HCornaline,PROPN
Serapis,Serapis,PROPN
patène,patèn,ADJ
excellente,excellent,ADJ
apparenté,apparenté,ADJ
VÉNUS,VÉNUS,PROPN
Aphrodites,Aphrodites,PROPN
Éléphant,Éléphant,PROPN
APHRODITES,APHRODITES,PROPN
Cacus,Cacus,PROPN
Celle,celui,PRON
piédestaux,piédestal,NOUN
maints,maint,ADJ
l',le,DET
aigle,aigle,NOUN
Deucalion,Deucalion,PROPN
Salomon,Salomon,PROPN
Glarac,Glarac,PROPN
L',le,DET
Hercule,Hercule,PROPN
Femme,Femme,PROPN
Nymphe,Nymphe,PROPN
Boutique,Boutique,PROPN
Foulon,Foulon,PROPN
trésor,trésor,NOUN
figurant,figurer,VERB
consacrèrent,consacrer,VERB
Bas,Bas,PROPN
c',ce,PRON
estGorgias,estgorgias,ADV
bœuf,bœuf,NOUN
Toutes,tout,ADJ
Temple,temple,NOUN
Moulages,moulage,NOUN
Létô,Létô,PROPN
Lacédémoniens,Lacédémoniens,PROPN
L',le,DET
omphalos,omphalo,NOUN
L',le,DET
hydre,hydre,NOUN
Heraclès,Heraclès,PROPN
Dioscures,dioscure,NOUN
Statues,Statues,PROPN
Hephsestiôn,Hephsestiôn,PROPN
Trésor,Trésor,PROPN
chaudron,chaudron,NOUN
Athénodoros,Athénodoros,PROPN
grande,grand,ADJ
modèle,modèle,NOUN
monuments,monument,NOUN
dernière,dernier,ADJ
offrande,offrande,X
offrandes,offrande,NOUN
Étoliens,Étoliens,PROPN
description,description,NOUN
Amazone,Amazone,PROPN
étaient,être,AUX
Rosmerta,Rosmerta,PROPN
belles,bel,ADJ
jolie,joli,ADJ
érigèrent,ériger,VERB
édifice,édifice,NOUN
âne,âne,NOUN
voyez,voir,PROPN
Auguste,Auguste,PROPN
personnification,personnification,NOUN
travaux,travail,NOUN
tout,tout,ADJ
taureau,taureau,NOUN
seize,seize,NUM
qui,qui,PRON
plusieurs,plusieurs,DET
placèrent,placer,VERB
omphalos,omphalo,NOUN
entre,entrer,ADP
En,en,ADP
Ilabron,Ilabron,PROPN
consécration,consécration,NOUN
Pluton,Pluton,PROPN
Olla,Olla,PROPN
Patère,patère,NOUN
Juba,Juba,PROPN
Hylas,Hylas,PROPN
Gaîne,Gaîne,PROPN
Divinité,Divinité,PROPN
Constaxtine,Constaxtine,PROPN
Actéon,Actéon,PROPN
Ouvriers,ouvrier,NOUN
Pelée,peler,ADJ
voir,voir,VERB
seraient,être,AUX
qu',que,SCONJ
au,au,ADP
notre,notre,DET
monomachies,monomachie,NOUN
Phiale,Phiale,PROPN
exprimer,exprimer,VERB
exprime,exprimer,VERB
VASES,vase,NOUN
Phrixos,Phrixos,X
OEdipe,OEdipe,PROPN
Néarchos,Néarchos,PROPN
Potier,potier,NOUN
orné,orner,VERB
centaure,centaure,NOUN
Déméter,déméter,VERB
Départ,départ,NOUN
aperçoit,apercevoir,VERB
Eros,Eros,PROPN
Grecs,Grecs,PROPN
Hector,Hector,X
Hypnos,Hypnos,PROPN
Siléne,Siléne,PROPN
Hébé,Hébé,PROPN
PEINTURES,peinture,NOUN
MONOCHROME,MONOCHROME,PROPN
Khrysos,Khrysos,PROPN
Deux,Deux,NUM
Bien,bien,ADV
L',le,DET
offrande,offrande,NOUN
Attitude,Attitude,PROPN
Lutte,Lutte,PROPN
Muse,Muse,PROPN
Ménades,Ménades,PROPN
Ménélas,Ménélas,PROPN
Polyphème,Polyphème,PROPN
Retour,retour,NOUN
Certains,certain,PRON
l',le,DET
attitude,attitude,NOUN
morte,mourir,VERB
musée,musée,NOUN
médaillon,médaillon,NOUN
cylix,cyli,NOUN
palais,palais,NOUN
patère,patère,NOUN
produits,produit,NOUN
remarquable,remarquable,ADJ
reproduisant,reproduire,VERB
SACRITICE,sacritice,NOUN
répétition,répétition,NOUN
s',se,PRON
inspirent,inspirer,VERB
Nicosthènes,Nicosthènes,PROPN
L',le,DET
une,un,DET
Exékias,Exékias,PROPN
vient,venir,VERB
représentée,représenter,VERB
petite,petit,ADJ
l',le,DET
intérieur,intérieur,NOUN
contre,contre,ADP
élégant,élégant,ADJ
danse,danse,NOUN
l',le,DET
aryballe,aryballe,NOUN
Saciifice,Saciifice,PROPN
l',le,DET
apothéose,apothéose,NOUN
Scènes,Scènes,PROPN
L',le,DET
admirable,admirable,ADJ
Thétis,Thétis,PROPN
aryballe,aryball,ADJ
aryballes,aryballe,ADJ
aryballesen,aryballesen,PROPN
aventures,aventure,NOUN
certains,certain,PRON
Ker,Ker,PROPN
chasse,chasse,NOUN
plus,plus,ADV
combats,combat,NOUN
d',de,DET
autres,autre,ADJ
dieux,dieu,NOUN
dont,dont,PRON
décor,décor,NOUN
olpés,olpé,NOUN
emprunté,emprunter,VERB
exemplaire,exemplaire,ADJ
font,faire,VERB
grand,grand,ADJ
Danse,Danse,PROPN
grillon,grillon,NOUN
enlevé,enlever,VERB
Lyson,Lyson,PROPN
avec,avec,ADP
colossale,colossal,ADJ
copié,copié,NOUN
d',de,ADP
Antiphile,Antiphile,PROPN
d',de,ADP
Apelles,Apelles,PROPN
donné,donner,VERB
désignée,désigner,VERB
Canéphores,Canéphores,PROPN
représentait,représenter,VERB
magnifiques,magnifique,ADJ
fresque,fresque,NOUN
gravèrent,gravèrent,NOUN
grylies,grylies,X
génisse,géniss,ADJ
knide,knide,VERB
d',de,ADP
Agrigente,Agrigente,PROPN
l',le,DET
œuvre,œuvre,NOUN
lalijsus,lalijsu,ADJ
admirable,admirable,ADJ
Thespies,Thespies,PROPN
Terrés,Terrés,PROPN
admirer,admirer,VERB
Mummius,Mummius,PROPN
Cos,Cos,X
Vro,Vro,PROPN
Klitus,Klitus,PROPN
L',le,DET
Alexandre,Alexandre,PROPN
L',le,DET
Aphro,Aphro,PROPN
Néron,Néron,PROPN
Pankasté,Pankasté,PROPN
Patras,Patras,PROPN
aryballiscos,aryballisco,ADJ
Pompe,pompe,NOUN
du,de,ADP
Praxitè,Praxitè,PROPN
Procession,procession,NOUN
copies,copie,NOUN
bel,bel,ADJ
Verrès,Verrès,PROPN
Pyrgotèles,Pyrgotèles,PROPN
Transportée,Transportée,PROPN
Tes,te,ADJ
Ttjkhé,Ttjkhé,PROPN
Scipion,Scipion,PROPN
VAplirodile,vaplirodil,ADJ
Victoires,victoire,NOUN
montrait,montrer,VERB
médaille,médaille,NOUN
Bérénice,Bérénice,PROPN
Lysistrate,Lysistrate,PROPN
l',le,DET
extérieur,extérieur,NOUN
Hérodote,Hérodote,PROPN
reconnaissent,reconnaître,VERB
statuaire,statuaire,ADJ
Glaucippe,Glaucippe,PROPN
Euticrate,euticrate,NOUN
Un,un,DET
face,face,NOUN
Euthicrate,Euthicrate,PROPN
grands,grand,ADJ
skyphos,skypho,NOUN
Alphée,Alphée,PROPN
Andron,Andron,PROPN
Amazones,Amazones,PROPN
Amours,Amours,PROPN
Euphranor,Euphranor,PROPN
retrace,retracer,VERB
Asiatique,asiatique,ADJ
remarque,remarque,VERB
petites,petit,ADJ
Borée,borée,NOUN
Laïs,Laïs,PROPN
débris,débris,NOUN
Ceux,celui,PRON
L,l,DET
porlrait,porlrer,VERB
qu',que,SCONJ
Apelles,Apelles,PROPN
reusement,reusement,NOUN
satyre,satyre,NOUN
reproduire,reproduire,VERB
Thespiens,Thespiens,PROPN
Rhodiens,Rhodiens,PROPN
Protogène,Protogène,PROPN
L',le,DET
autre,autre,ADJ
Revers,Revers,PROPN
Paralos,Paralos,PROPN
Cnidiens,Cnidiens,PROPN
l',le,DET
Athéna,Athéna,PROPN
plaque,plaque,NOUN
préparatifs,préparatif,VERB
Éphestion,éphestion,NOUN
Gerhard,Gerhard,PROPN
L',le,DET
intérieur,intérieur,NOUN
tyran,tyran,NOUN
poëte,poëte,NOUN
femme,femme,NOUN
Pline,Pline,PROPN
ACESTOR,ACESTOR,PROPN
camées,camé,NOUN
MÉNODORE,ménodore,NOUN
trépieds,trépied,NOUN
Apollonius,Apollonius,PROPN
Astiag,Astiag,PROPN
Doryclidas,Doryclidas,PROPN
Esculape,Esculape,PROPN
MACÉDON,MACÉDON,PROPN
MAMMURIUS,MAMMURIUS,PROPN
MICCION,MICCION,PROPN
MUSUS,MUSUS,PROPN
MYAGRUS,MYAGRUS,PROPN
MYRON,MYRON,PROPN
MÉNESTRATE,MÉNESTRATE,PROPN
MÉNODOTE,MÉNODOTE,PROPN
Sostrate,Sostrate,PROPN
MÉNOGÈNES,ménogène,NOUN
MÉNOPHANTE,ménophante,NOUN
MÉNÉLAS,MÉNÉLAS,PROPN
MÉTRODORE,métrodore,NOUN
Ménodore,ménodore,NOUN
NAUCÉRUS,NAUCÉRUS,PROPN
NICIAS,NICIAS,PROPN
NICODAMUS,NICODAMUS,PROPN
OLYMPIOSTHÈNE,OLYMPIOSTHÈNE,PROPN
OLYMPUS,OLYMPUS,PROPN
ONASSIMÉDÈS,ONASSIMÉDÈS,X
ONÆTHUS,ONÆTHUS,PROPN
aux,à,ADP
LÉOCRATES,LÉOCRATES,PROPN
SOSIBIOS,sosibio,NOUN
HÉRACLIUS,HÉRACLIUS,PROPN
GITIADAS,GITIADAS,PROPN
GLAUCIAS,glaucier,VERB
GLAUCIDÈS,GLAUCIDÈS,PROPN
GLAUCUS,GLAUCUS,PROPN
GLYCON,glycon,NOUN
GOMPHUS,GOMPHUS,PROPN
HELIODORE,HELIODORE,PROPN
HERMOGÈNE,HERMOGÈNE,PROPN
HICANUS,HICANUS,PROPN
HIPPATODORE,HIPPATODORE,PROPN
HIPPIAS,HIPPIAS,PROPN
HÉGÉSIAS,HÉGÉSIAS,PROPN
HÉRODOTE,HÉRODOTE,PROPN
LÉOCHARÈS,LÉOCHARÈS,PROPN
INGENUUS,INGENUUS,PROPN
ISIDORE,ISIDORE,PROPN
ISIGONE,ISIGONE,PROPN
LAPHAÈS,LAPHAÈS,PROPN
LESBOTHÉMIS,LESBOTHÉMIS,PROPN
LOCRUS,LOCRUS,PROPN
LOPHON,LOPHON,PROPN
LYCIUS,LYCIUS,PROPN
LYSIAS,LYSIAS,PROPN
LYSON,LYSON,PROPN
LYSUS,LYSUS,PROPN
LÉARQUE,léarqu,ADJ
OPHÉLION,OPHÉLION,PROPN
PA,pa,NOUN
PAMPHILE,PAMPHILE,PROPN
hermaphrodite,hermaphrodite,VERB
PTOLICHUS,PTOLICHUS,PROPN
PYGMALION,PYGMALION,PROPN
PYRILAMPÈS,pyrilampè,NOUN
PYROMAQUE,PYROMAQUE,PROPN
PYRRHUS,PYRRHUS,PROPN
PYTHAGORE,PYTHAGORE,PROPN
PYTHIS,pythis,VERB
PYTHODORE,PYTHODORE,PROPN
PÉRICLYMÈNE,PÉRICLYMÈNE,PROPN
PÉRILLE,pérille,NOUN
Victoire,Victoire,PROPN
emple,emple,NOUN
travailla,travailler,VERB
PANDÉMIUS,PANDÉMIUS,PROPN
vaches,vache,NOUN
RUPIUS,RUPIUS,PROPN
SALPION,SALPION,PROPN
SAMOLAS,SAMOLAS,PROPN
SARAMBUS,SARAMBUS,PROPN
SCYMN,SCYMN,PROPN
SIM,sim,NOUN
SIMENUS,SIMENUS,PROPN
SIMMIAS,SIMMIAS,PROPN
SIMON,SIMON,PROPN
SMILIS,SMILIS,PROPN
SOCLOS,SOCLOS,PROPN
PRISCILLA,PRISCILLA,PROPN
POTHINUS,POTHINUS,PROPN
POSIDONIUS,POSIDONIUS,PROPN
POLYTIMUS,POLYTIMUS,PROPN
PANTIAS,pantias,DET
PATROCLE,PATROCLE,PROPN
PETROS,PETROS,PROPN
PHI,PHI,PROPN
PHILISCUS,PHILISCUS,PROPN
PHILOMÈNE,PHILOMÈNE,PROPN
PHILON,PHILON,PROPN
PHILONICUS,PHILONICUS,PROPN
PHILÉAS,PHILÉAS,PROPN
PHILÉTUS,PHILÉTUS,PROPN
PHRADMON,PHRADMON,PROPN
PHYROMAQUE,PHYROMAQUE,PROPN
PHiEDIM,phiedim,NOUN
PISIAS,pisia,NOUN
PISTILLUS,PISTILLUS,PROPN
PISTON,PISTON,PROPN
PITHANDRE,PITHANDRE,PROPN
PJEONIUS,PJEONIUS,PROPN
PLOCAMUS,PLOCAMUS,PROPN
POLIS,POLIS,PROPN
POLYCHARME,POLYCHARME,PROPN
POLYCLÈTE,POLYCLÈTE,PROPN
POLYCRATE,POLYCRATE,PROPN
POLYEUCTE,polyeucte,NOUN
POLYSTRATE,POLYSTRATE,PROPN
regarde,regarder,VERB
exécuta,exécuter,VERB
chasseurs,chasseur,PROPN
BATTON,BATTON,PROPN
ARISTON,ARISTON,PROPN
ARISTONIDAS,ARISTONIDAS,PROPN
ARISTONUS,ARISTONUS,PROPN
ARISTOTE,ARISTOTE,PROPN
ARTEMON,ARTEMON,PROPN
ASCARUS,ASCARUS,PROPN
ATTALUS,ATTALUS,PROPN
ATTICIANUS,ATTICIANUS,PROPN
AULANIUS,AULANIUS,PROPN
AULUS,AULUS,PROPN
Alcamènes,Alcamènes,PROPN
BATHYCLÈS,BATHYCLÈS,PROPN
BROTÉAS,BROTÉAS,PROPN
CEPHIS,CEPHIS,PROPN
BRYAXIS,BRYAXIS,PROPN
BYZÈS,BYZÈS,X
CALAMIS,CALAMIS,PROPN
CALLICLÈS,CALLICLÈS,PROPN
CALLIMAQUE,callimaque,NOUN
CALLISTONICUS,CALLISTONICUS,PROPN
CALLITELÈS,CALLITELÈS,PROPN
CALLON,CALLON,PROPN
CALYNTHUS,CALYNTHUS,PROPN
CANACH,CANACH,PROPN
CANTHARE,CANTHARE,PROPN
CAPHISIAS,CAPHISIAS,PROPN
ARISTOMÉDON,ARISTOMÉDON,PROPN
ARISTOMÈDE,aristomède,VERB
ARISTOGITON,ARISTOGITON,PROPN
ARISTODÈME,ARISTODÈME,PROPN
AGASIAS,AGASIAS,PROPN
AGATHOCLÈS,AGATHOCLÈS,PROPN
AGORACRITE,AGORACRITE,PROPN
AGÉLADAS,AGÉLADAS,PROPN
AGÉSANDRE,AGÉSANDRE,PROPN
ALCON,ALCON,PROPN
ALTIMUS,ALTIMUS,PROPN
ALYPUS,ALYPUS,PROPN
ALÉVAS,ALÉVAS,PROPN
AMMONIUS,AMMONIUS,PROPN
AMPHICRATES,AMPHICRATES,PROPN
AMPHISTRATE,AMPHISTRATE,PROPN
AMYCLiEUS,AMYCLiEUS,PROPN
ANAXAGORE,ANAXAGORE,PROPN
ANAXIMÈNE,ANAXIMÈNE,PROPN
ANDAAGORAS,ANDAAGORAS,PROPN
ANDROBULE,ANDROBULE,PROPN
ANDRON,ANDRON,PROPN
ANGÉLION,ANGÉLION,PROPN
ANTIOCHUS,ANTIOCHUS,PROPN
ANTÉNOR,ANTÉNOR,PROPN
ARCHIDAMUS,ARCHIDAMUS,PROPN
ARGUS,ARGUS,PROPN
ARISTEAS,ARISTEAS,PROPN
ARISTOCLËS,ARISTOCLËS,PROPN
CENCHRAMIS,CENCHRAMIS,PROPN
CHARÈS,CHARÈS,PROPN
Hérœum,Hérœum,PROPN
DÉMOCRITE,démocrit,ADJ
DIODOTE,DIODOTE,PROPN
DIOGÈNE,DIOGÈNE,PROPN
DIONYSI,DIONYSI,PROPN
DIONYSIC,DIONYSIC,PROPN
DIONYSIUS,DIONYSIUS,PROPN
DONTAS,DONTAS,PROPN
DOROTHÉE,dorothée,NOUN
DOTE,DOTE,PROPN
DyENÈS,DyENÈS,PROPN
DÆMON,DÆMON,PROPN
DÈS,dè,NOUN
DÉDALE,dédale,NOUN
DÉMÉTRIUS,DÉMÉTRIUS,PROPN
CHIMARUS,CHIMARUS,PROPN
ENTOCH,ENTOCH,PROPN
EPIGONE,EPIGONE,PROPN
EPÉUS,EPÉUS,PROPN
ERATON,ERATON,PROPN
EUBIUS,EUBIUS,PROPN
EUBULIDE,EUBULIDE,PROPN
EUCHIR,EUCHIR,PROPN
EUCLIDE,EUCLIDE,PROPN
